2025-07-24;729,46 MAD ;742,5 MAD ;
2025-07-25;722,28 MAD ;735,3 MAD ;
2025-07-28;722,77 MAD ;735,8 MAD ;
2025-07-29;729,69 MAD ;742,7 MAD ;
2025-07-30;718,97 MAD ;732,0 MAD ;
2025-07-31;724,56 MAD ;737,6 MAD ;
2025-08-01;736,85 MAD ;749,9 MAD ;
2025-08-04;737,90 MAD ;750,9 MAD ;
2025-08-05;741,78 MAD ;754,8 MAD ;
2025-08-06;737,07 MAD ;750,1 MAD ;
2025-08-07;740,59 MAD ;753,6 MAD ;
2025-08-08;741,48 MAD ;754,5 MAD ;
2025-08-11;729,85 MAD ;742,9 MAD ;
2025-08-12;731,38 MAD ;744,4 MAD ;
2025-08-13;729,11 MAD ;742,1 MAD ;
2025-08-14;723,76 MAD ;736,8 MAD ;
2025-08-15;724,52 MAD ;737,5 MAD ;
2025-08-18;724,42 MAD ;737,4 MAD ;
2025-08-19;721,14 MAD ;734,1 MAD ;
2025-08-20;728,25 MAD ;741,3 MAD ;
2025-08-21;726,69 MAD ;739,7 MAD ;
2025-08-22;735,72 MAD ;748,7 MAD ;
2025-08-25;731,64 MAD ;744,6 MAD ;
2025-08-26;738,23 MAD ;751,2 MAD ;
2025-08-27;742,46 MAD ;755,5 MAD ;
2025-08-28;743,28 MAD ;756,3 MAD ;
2025-08-29;751,38 MAD ;764,4 MAD ;
2025-09-01;753,73 MAD ;766,7 MAD ;
2025-09-02;770,55 MAD ;783,6 MAD ;
2025-09-03;779,83 MAD ;792,8 MAD ;
2025-09-04;776,14 MAD ;789,1 MAD ;
2025-09-05;786,18 MAD ;799,2 MAD ;
2025-09-08;790,75 MAD ;803,8 MAD ;
2025-09-09;787,31 MAD ;800,3 MAD ;
2025-09-10;792,37 MAD ;805,4 MAD ;
2025-09-11;791,13 MAD ;804,1 MAD ;
2025-09-12;791,70 MAD ;804,7 MAD ;
2025-09-15;797,23 MAD ;810,2 MAD ;
2025-09-16;797,70 MAD ;810,7 MAD ;
2025-09-17;792,60 MAD ;805,6 MAD ;
2025-09-18;789,62 MAD ;802,6 MAD ;
2025-09-19;802,02 MAD ;815,0 MAD ;
2025-09-22;814,67 MAD ;827,7 MAD ;
2025-09-23;819,31 MAD ;832,3 MAD ;
2025-09-24;818,25 MAD ;831,3 MAD ;
2025-09-25;819,08 MAD ;832,1 MAD ;
2025-09-26;823,93 MAD ;836,9 MAD ;
2025-09-29;838,58 MAD ;851,6 MAD ;
2025-09-30;846,45 MAD ;859,5 MAD ;
2025-10-01;846,33 MAD ;859,3 MAD ;
2025-10-02;845,10 MAD ;858,1 MAD ;
2025-10-03;854,53 MAD ;867,5 MAD ;
2025-10-06;874,07 MAD ;887,1 MAD ;
2025-10-07;878,89 MAD ;891,9 MAD ;
2025-10-08;884,91 MAD ;897,9 MAD ;
2025-10-09;879,39 MAD ;892,4 MAD ;
2025-10-10;884,75 MAD ;897,8 MAD ;
2025-10-13;908,27 MAD ;921,3 MAD ;
2025-10-14;920,68 MAD ;933,7 MAD ;
2025-10-15;932,01 MAD ;945,0 MAD ;
2025-10-16;955,26 MAD ;968,3 MAD ;
2025-10-17;939,76 MAD ;952,8 MAD ;
2025-10-20;969,18 MAD ;982,2 MAD ;
2025-10-21;916,72 MAD ;929,7 MAD ;
2025-10-22;913,66 MAD ;926,7 MAD ;
2025-10-23;918,69 MAD ;931,7 MAD ;
2025-10-24;914,93 MAD ;927,9 MAD ;
2025-10-27;888,21 MAD ;901,2 MAD ;
2025-10-28;877,80 MAD ;890,8 MAD ;
2025-10-29;875,96 MAD ;889,0 MAD ;
2025-10-30;897,84 MAD ;910,8 MAD ;
2025-10-31;893,63 MAD ;906,6 MAD ;
2025-11-03;897,43 MAD ;910,4 MAD ;
2025-11-04;884,01 MAD ;897,0 MAD ;
2025-11-05;891,67 MAD ;904,7 MAD ;
2025-11-06;894,21 MAD ;907,2 MAD ;
2025-11-07;894,01 MAD ;907,0 MAD ;
2025-11-10;920,14 MAD ;933,1 MAD ;
2025-11-11;925,62 MAD ;938,6 MAD ;
2025-11-12;940,33 MAD ;953,3 MAD ;
2025-11-13;933,39 MAD ;946,4 MAD ;
2025-11-14;909,34 MAD ;922,3 MAD ;
2025-11-17;902,90 MAD ;915,9 MAD ;
2025-11-18;907,91 MAD ;920,9 MAD ;
2025-11-19;913,29 MAD ;926,3 MAD ;
2025-11-20;914,49 MAD ;927,5 MAD ;
2025-11-21;909,91 MAD ;922,9 MAD ;
2025-11-24;924,74 MAD ;937,7 MAD ;
2025-11-25;922,08 MAD ;935,1 MAD ;
2025-11-26;929,55 MAD ;942,6 MAD ;
2025-11-27;928,32 MAD ;941,3 MAD ;
2025-11-28;941,19 MAD ;954,2 MAD ;
2025-12-01;944,72 MAD ;957,7 MAD ;
2025-12-02;939,13 MAD ;952,1 MAD ;
2025-12-03;936,38 MAD ;949,4 MAD ;
2025-12-04;936,45 MAD ;949,5 MAD ;
2025-12-05;934,94 MAD ;947,9 MAD ;
2025-12-06;934,54 MAD ;947,5 MAD ;
2025-12-07;934,25 MAD ;947,3 MAD ;
2025-12-08;934,01 MAD ;947,0 MAD ;
2025-12-09;939,93 MAD ;952,9 MAD ;
2025-12-11;.;944,0 MAD ;
2025-12-12;.;944,0 MAD ;
2025-12-13;.;954,0 MAD ;
2025-12-14;.;955,0 MAD ;
2025-12-15;.;960,0 MAD ;
2025-12-16;.;950,0 MAD ;
2025-12-17;.;960,0 MAD ;
